SERIAL NO,weight,height,gender,bmi,chance,conclusion
1,83,161,,32.02,1,1.61
2,94,186,,27.17,1,1.86
3,94,188,,26.6,1,1.88
4,85,182,,25.66,1,1.82
5,68,163,female,25.59,1,1.63
6,60,166,female,21.77,0,1.66
7,61,171,male,20.86,0,1.71
8,100,173,female,33.41,1,1.73
9,82,177,,26.17,1,1.77
10,80,178,,25.25,1,1.78
11,65,176,female,20.98,0,1.76
12,52,163,female,19.57,0,1.63
13,60,171,female,20.52,0,1.71
14,62,162,female,23.62,0,1.62
15,70,176,,22.6,0,1.76
16,72,178,,22.72,0,1.78
17,78,182,,23.55,0,1.82
18,66,159,female,26.11,1,1.59
19,78,182,,23.55,0,1.82
20,66,159,,26.11,1,1.59
21,73,182,,22.04,0,1.82
22,55,174,female,18.17,0,1.74
23,75,184,,22.15,0,1.84
24,69,177,,22.02,0,1.77
25,90,183,,26.87,1,1.83
26,75,188,,21.22,0,1.88
27,80,165,female,29.38,1,1.65
28,67,174,male,22.13,0,1.74
29,85,185,,24.84,0,1.85
30,76.5,182,female,23.1,0,1.82
31,98,194,,26.04,1,1.94
32,77,183,,22.99,0,1.83
33,68,184,,20.09,0,1.84
34,67,179,,20.91,0,1.79
35,50,175,male,16.33,0,1.75
36,65,163,,24.46,0,1.63
37,83,195,,21.83,0,1.95
38,91,183,,27.17,1,1.83
39,50,169,,17.51,0,1.69
40,94,183,,28.07,1,1.83
41,60,178,,18.94,0,1.78
42,70,188,,19.81,0,1.88
43,65,176,,20.98,0,1.76
44,85,178,,26.83,1,1.78
45,76,182,,22.94,0,1.82
46,64,177,,20.43,0,1.77
47,83,180,,25.62,1,1.8
48,73,188,,20.65,0,1.88
